ranker,pick_overall,team_id,player,college_name,seasons,g,mp,pts,trb,ast,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,ws,ws_per_48,bpm,vorp
1,1,DET,Bob Lanier,St. Bonaventure University,14,959,32103,19248,9698,3007,.514,.154,.767,33.5,20.1,10.1,3.1,117.1,.175,5.0,41.9
2,2,SDR,Rudy Tomjanovich,University of Michigan,11,768,25714,13383,6198,1573,.501,.262,.784,33.5,17.4,8.1,2.0,70.4,.131,0.7,12.8
3,3,ATL,Pete Maravich,Louisiana State University,10,658,24316,15948,2747,3563,.441,.667,.820,37.0,24.2,4.2,5.4,46.7,.092,0.8,11.4
4,4,BOS,Dave Cowens,Florida State University,11,766,29565,13516,10444,2910,.460,.071,.783,38.6,17.6,13.6,3.8,86.3,.140,3.2,26.2
5,5,CIN,Sam Lacey,New Mexico State University,13,1002,31873,10303,9687,3754,.441,.188,.738,31.8,10.3,9.7,3.7,50.9,.077,3.0,29.7
6,6,SEA,Jim Ard,University of Cincinnati,8,218,2666,771,820,149,.361,,.695,12.2,3.5,3.8,0.7,2.0,.036,-4.9,-2.0
7,7,CLE,John Johnson,University of Iowa,12,869,25681,11200,4778,3285,.446,.000,.779,29.6,12.9,5.5,3.8,37.1,.069,-0.6,6.4
8,8,POR,Geoff Petrie,Princeton University,6,446,16787,9732,1271,2057,.455,,.805,37.6,21.8,2.8,4.6,26.1,.075,-1.8,0.3
9,9,BAL,George Johnson,Stephen F. Austin State University,4,69,744,190,220,22,.442,,.431,10.8,2.8,3.2,0.3,0.6,.036,-4.6,-0.2
10,10,PHO,Greg Howard,University of New Mexico,2,92,852,312,227,53,.388,,.697,9.3,3.4,2.5,0.6,0.6,.034,,
11,11,CHI,Jimmy Collins,New Mexico State University,2,74,612,281,66,70,.414,,.804,8.3,3.8,0.9,0.9,0.6,.044,,
12,12,PHI,Al Henry,University of Wisconsin,2,49,447,194,148,8,.426,,.700,9.1,4.0,3.0,0.2,0.7,.074,,
13,13,LAL,Jim McMillian,Columbia University,9,631,20227,8736,3319,1557,.482,,.832,32.1,13.8,5.3,2.5,46.0,.109,0.2,6.9
14,14,ATL,John Vallely,"University of California, Los Angeles",2,100,796,359,66,84,.379,,.721,8.0,3.6,0.7,0.8,-0.3,-.020,,
15,15,BUF,John Hummer,Princeton University,6,327,7420,2248,1733,543,.438,,.524,22.7,6.9,5.3,1.7,4.8,.031,-3.1,-0.6
16,16,MIL,Gary Freeman,Oregon State University,1,52,382,167,106,35,.515,,.725,7.3,3.2,2.0,0.7,1.2,.155,,
17,17,NYK,Mike Price,University of Illinois at Urbana-Champaign,3,119,1042,391,152,89,.404,,.772,8.8,3.3,1.3,0.7,0.5,.021,,
18,18,SDR,Calvin Murphy,Niagara University,13,1002,30607,17949,2103,4402,.482,.139,.892,30.5,17.9,2.1,4.4,84.1,.132,0.7,16.4
19,19,CIN,Tiny Archibald,University of Texas at El Paso,13,876,31159,16481,2046,6476,.467,.224,.810,35.6,18.8,2.3,7.4,83.4,.128,-0.2,9.5
20,20,SEA,Jake Ford,University of Maryland Eastern Shore,2,31,249,126,20,35,.462,,.764,8.0,4.1,0.6,1.1,0.7,.133,,
21,21,BOS,Rex Morgan,Jacksonville University,2,62,416,172,91,39,.375,,.682,6.7,2.8,1.5,0.6,0.5,.063,,
22,22,CIN,Doug Cook,Davidson College,,,,,,,,,,,,,,,,,
23,23,SEA,Pete Cross,University of San Francisco,3,182,3775,1057,1519,187,.431,,.695,20.7,5.8,8.3,1.0,4.2,.053,,
24,24,BUF,Cornell Warner,Jackson State University,7,445,10508,2860,3353,494,.452,,.672,23.6,6.4,7.5,1.1,15.8,.072,-1.3,1.2
25,25,POR,Walt Gilmore,Fort Valley State University,1,27,261,58,73,12,.426,,.462,9.7,2.1,2.7,0.4,0.2,.033,,
26,26,CLE,Dave Sorenson,Ohio State University,3,213,3857,1734,997,280,.442,,.778,18.1,8.1,4.7,1.3,5.4,.067,,
27,27,PHO,Fred Taylor,University of Texas-Pan American,2,88,835,385,140,69,.364,,.592,9.5,4.4,1.6,0.8,-0.6,-.035,,
28,28,CHI,Paul Ruffner,Brigham Young University,4,52,214,109,49,9,.440,,.500,4.1,2.1,0.9,0.2,0.1,.017,-7.3,-0.2
29,29,PHO,Joe DePre,St. John's University,,,,,,,,,,,,,,,,,
30,30,LAL,Earnie Killum,Stetson University,1,4,12,1,2,0,.000,,1.000,3.0,0.3,0.5,0.0,-0.1,-.314,,
31,31,ATL,Dan Hester,Louisiana State University,,,,,,,,,,,,,,,,,
32,32,DET,Ken Warzynski,DePaul University,,,,,,,,,,,,,,,,,
33,33,MIL,Bill Zopf,Duquesne University,1,53,398,118,46,73,.363,,.556,7.5,2.2,0.9,1.4,-0.1,-.011,,
34,34,NYK,Howie Wright,Austin Peay State University,,,,,,,,,,,,,,,,,
35,35,SDR,Curtis Perry,Missouri State University,8,480,13656,4578,4239,906,.455,,.699,28.5,9.5,8.8,1.9,29.6,.104,1.4,8.2
36,36,SFW,Earle Higgins,Eastern Michigan University,,,,,,,,,,,,,,,,,
37,37,DET,Bob St. Pierre,Hanover College,,,,,,,,,,,,,,,,,
38,38,BOS,Willie Williams,Florida State University,1,25,105,23,23,8,.238,,.600,4.2,0.9,0.9,0.3,-0.4,-.170,,
39,39,CIN,Greg Hyder,Eastern New Mexico University,1,77,1359,417,332,48,.447,,.718,17.6,5.4,4.3,0.6,1.1,.040,,
40,40,SEA,Gar Heard,University of Oklahoma,11,787,19571,6828,5876,1220,.414,.000,.654,24.9,8.7,7.5,1.6,27.0,.066,0.0,7.9
41,41,CLE,Surry Oliver,Stephen F. Austin State University,,,,,,,,,,,,,,,,,
42,42,POR,Bill Cain,Iowa State University,,,,,,,,,,,,,,,,,
43,43,BUF,Chip Case,University of Virginia,,,,,,,,,,,,,,,,,
44,44,PHO,Greg McDivitt,Ohio University,,,,,,,,,,,,,,,,,
45,45,CHI,Lou Herndon,Jackson State University,,,,,,,,,,,,,,,,,
46,46,PHI,Dennis Awtrey,Santa Clara University,12,733,14159,3516,3342,1467,.459,,.652,19.3,4.8,4.6,2.0,22.4,.076,-1.2,2.2
47,47,DET,Jim Hayes,Boston University,,,,,,,,,,,,,,,,,
48,48,PHO,Vann Williford,North Carolina State University,,,,,,,,,,,,,,,,,
49,49,BAL,Seaburn Hill,Arizona State University,,,,,,,,,,,,,,,,,
50,50,MIL,Marv Winkler,University of Louisiana at Lafayette,1,3,14,8,4,2,.300,,1.000,4.7,2.7,1.3,0.7,0.0,-.121,,
51,51,NYK,Al Williams,Drake University,,,,,,,,,,,,,,,,,
52,52,SDR,Jody Finney,Ohio State University,,,,,,,,,,,,,,,,,
53,53,SFW,Ralph Ogden,Santa Clara University,1,32,162,42,32,9,.239,,.667,5.1,1.3,1.0,0.3,-0.7,-.208,,
54,54,BAL,Bill Stricker,University of the Pacific,1,1,2,4,0,0,.667,,,2.0,4.0,0.0,0.0,0.0,.770,,
55,55,BOS,Jon McKinney,Norfolk State University,,,,,,,,,,,,,,,,,
56,56,CIN,Wade Fuller,Loyola University of Chicago,,,,,,,,,,,,,,,,,
57,57,CHI,John Davis,Alabama State University,,,,,,,,,,,,,,,,,
58,58,BUF,Erwin Polnick,Stephen F. Austin State University,,,,,,,,,,,,,,,,,
59,59,POR,Jim Penix,Bowling Green State University,,,,,,,,,,,,,,,,,
60,60,CLE,Glen Vidnovic,University of Iowa,,,,,,,,,,,,,,,,,
61,61,PHO,Bob Lienhard,University of Georgia,,,,,,,,,,,,,,,,,
62,62,CHI,Jim Wilson,Cheyney University of Pennsylvania,,,,,,,,,,,,,,,,,
63,63,PHI,Dan Crenshaw,Alabama State University,,,,,,,,,,,,,,,,,
64,64,LAL,Larry Mikan,University of Minnesota,1,53,536,158,139,41,.333,,.618,10.1,3.0,2.6,0.8,-0.8,-.073,,
65,65,ATL,Fred Davis,Howard Payne University,,,,,,,,,,,,,,,,,
66,66,BAL,Billy Jones,Louisiana College,,,,,,,,,,,,,,,,,
67,67,MIL,Virgle Fredricks,Drury University,,,,,,,,,,,,,,,,,
68,68,NYK,John Marren,Manhattan College,,,,,,,,,,,,,,,,,
69,69,SDR,James Gilbert,Adams State College,,,,,,,,,,,,,,,,,
70,70,SFW,Levi Fontaine,University of Maryland Eastern Shore,1,35,210,134,15,22,.366,,.757,6.0,3.8,0.4,0.6,-0.3,-.069,,
