trb,trb_per_g,ws_per_48,college_name,fg3_pct,mp,g,ft_pct,player,fg_pct,vorp,seasons,bpm,ast_per_g,pts_per_g,team_id,pts,ast,pick_overall,mp_per_g,ws,ranker
3414,6.8,.009,University of the Pacific,,13129,500,.597,Michael Olowokandi,.435,-8.3,9,-4.5,0.7,8.3,LAC,4135,327,1,26.3,2.5,1
3103,3.1,.104,University of Arizona,.379,33962,1001,.802,Mike Bibby,.436,21.2,14,0.5,5.5,14.7,VAN,14698,5517,2,33.9,73.2,2
3423,6.1,.130,University of Kansas,.363,14545,563,.711,Raef LaFrentz,.466,12.8,10,1.5,1.1,10.1,DEN,5690,606,3,25.8,39.4,3
8157,7.5,.112,University of North Carolina,.346,37638,1083,.724,Antawn Jamison,.451,17.4,16,-0.2,1.6,18.5,TOR,20042,1761,4,34.8,87.8,4
5808,4.7,.138,University of North Carolina,.373,40636,1236,.799,Vince Carter,.439,53.0,18,3.2,3.5,19.1,GSW,23660,4340,5,32.9,116.8,5
1640,3.7,.102,University of Michigan,.167,6243,438,.577,Robert Traylor,.474,3.6,7,0.3,0.7,4.8,DAL,2085,312,6,14.3,13.3,6
1810,2.3,.080,University of Florida,.327,23188,788,.813,Jason Williams,.398,7.8,12,-0.7,5.9,10.5,SAC,8266,4611,7,29.4,38.5,7
3039,4.2,.069,Saint Louis University,.309,22368,727,.757,Larry Hughes,.406,9.7,13,-0.3,3.1,14.1,PHI,10242,2290,8,30.8,32.3,8
10303,7.9,.204,,.383,46027,1302,.879,Dirk Nowitzki,.475,65.1,18,3.6,2.6,22.1,MIL,28774,3354,9,35.4,196.0,9
7396,5.8,.160,University of Kansas,.370,44988,1286,.807,Paul Pierce,.446,61.9,18,3.5,3.6,20.3,BOS,26098,4657,10,35.0,149.7,10
2737,4.6,.093,Ball State University,.327,15133,591,.697,Bonzi Wells,.460,9.3,10,0.4,2.1,12.1,DET,7147,1249,11,25.6,29.4,11
1955,3.3,.070,University of Utah,.125,8789,587,.791,Michael Doleac,.439,-3.8,10,-3.7,0.6,4.9,ORL,2882,343,12,15.0,12.7,12
2096,5.9,.110,"University of Nevada, Las Vegas",.053,7971,353,.645,Keon Clark,.500,3.8,6,-0.1,0.9,8.2,ORL,2882,322,13,22.6,18.2,13
609,2.9,.061,University of Arizona,.402,7490,212,.784,Michael Dickerson,.432,1.6,5,-1.2,2.6,15.4,HOU,3257,553,14,35.3,9.6,14
3366,5.1,.114,Georgia Institute of Technology,.333,17584,665,.753,Matt Harpring,.481,8.2,11,-0.1,1.4,11.5,ORL,7645,907,15,26.4,41.9,15
295,1.2,.030,Valparaiso University,.371,3970,243,.830,Bryce Drew,.382,-2.6,6,-4.6,2.2,4.4,HOU,1081,524,16,16.3,2.4,16
4143,5.1,.107,,.077,17983,811,.585,Rasho Nesterovic,.502,11.0,12,0.4,1.0,6.8,MIN,5519,836,17,22.2,39.9,17
33,1.9,-.019,,.000,90,17,.625,Mirsad Turkcan,.368,-0.1,1,-6.0,0.3,1.9,HOU,33,5,18,5.3,0.0,18
1457,2.6,.081,University of Notre Dame,.398,11062,552,.806,Pat Garrity,.417,0.7,10,-1.8,0.8,7.3,MIL,4017,443,19,20.0,18.7,19
308,2.7,.004,Duke University,.111,2130,113,.819,Roshown McLeod,.409,-1.6,3,-5.0,1.1,7.2,ATL,817,124,20,18.8,0.2,20
2550,3.5,.061,University of Iowa,.361,21927,736,.781,Ricky Davis,.446,6.5,12,-0.8,3.3,13.5,CHH,9912,2426,21,29.8,28.0,21
2841,4.7,.070,Baylor University,.333,10910,608,.566,Brian Skinner,.494,-1.0,14,-2.4,0.5,4.7,LAC,2876,288,22,17.9,15.8,22
943,1.7,.075,University of Nebraska,.391,12564,554,.829,Tyronn Lue,.437,-2.5,11,-2.8,3.1,8.5,DEN,4710,1727,23,22.7,19.7,23
604,2.4,.036,St. John's University,.327,4145,249,.659,Felipe Lopez,.432,-0.7,4,-2.7,1.0,5.8,SAS,1448,252,24,16.6,3.1,24
5482,5.6,.073,,.352,28009,981,.727,Al Harrington,.444,5.5,16,-1.2,1.7,13.5,IND,13237,1649,25,28.6,42.5,25
80,1.2,.071,University of Minnesota,.360,752,68,.739,Sam Jacobson,.511,-0.3,3,-3.5,0.5,4.2,LAL,283,36,26,11.1,1.1,26
1180,4.4,.067,,.133,3726,270,.536,Vladimir Stepania,.425,-1.8,6,-3.9,0.3,4.1,SEA,1118,94,27,13.8,5.2,27
259,1.7,-.019,Oregon State University,.289,2191,153,.652,Corey Benjamin,.390,-2.0,4,-5.6,0.9,5.5,CHI,835,143,28,14.3,-0.9,28
4704,4.7,.104,University of Kentucky,.000,15872,1000,.639,Nazr Mohammed,.486,-1.9,17,-2.5,0.4,5.8,UTA,5819,375,29,15.9,34.3,29
223,1.8,.051,University of Mississippi,.276,1301,127,.640,Ansu Sesay,.434,-0.4,4,-3.3,0.5,3.2,DAL,401,62,30,10.2,1.4,30
2697,4.2,.106,University of Cincinnati,.179,15955,649,.641,Ruben Patterson,.517,11.8,10,0.9,1.8,10.7,LAL,6953,1150,31,24.6,35.1,31
5433,5.2,.130,,.386,33541,1049,.805,Rashard Lewis,.452,34.1,16,2.0,1.7,14.9,SEA,15579,1765,32,32.0,90.9,32
921,3.5,.064,"University of California, Los Angeles",,3824,260,.490,Jelani McCoy,.539,-1.1,8,-3.1,0.5,4.6,SEA,1200,135,33,14.7,5.1,33
518,1.6,.079,University of North Carolina,.366,5351,325,.798,Shammond Williams,.401,-0.4,7,-2.3,2.4,5.8,CHI,1892,765,34,16.5,8.8,34
107,1.0,-.062,,.208,524,102,.526,Bruno Sundov,.356,-1.0,7,-9.7,0.2,1.7,DAL,173,18,35,5.1,-0.7,35
1099,3.1,.029,Florida Agricultural and Mechanical University,.000,4771,358,.617,Jerome James,.485,-1.3,9,-3.1,0.3,4.3,SAC,1540,118,36,13.3,2.9,36
3,0.3,-.498,University of Toledo,,14,9,,Casey Shaw,.125,-0.1,1,-27.8,0.0,0.2,PHI,2,0,37,1.6,-0.1,37
7,1.4,-.091,University of North Carolina at Charlotte,,37,5,,DeMarco Johnson,.333,-0.1,1,-11.9,0.0,1.2,NYK,6,0,38,7.4,-0.1,38
1891,2.8,.081,"California State University, Fresno",.354,19392,671,.729,Rafer Alston,.383,10.9,11,0.2,4.8,10.1,MIL,6799,3202,39,28.9,32.9,39
4,1.3,.280,,.250,15,3,1.000,Korleone Young,.500,0.0,1,6.0,0.3,4.3,DET,13,1,40,5.0,0.1,40
2902,3.9,.091,University of Rhode Island,.378,27618,747,.835,Cuttino Mobley,.433,15.3,11,0.2,2.7,16.0,HOU,11964,2015,41,37.0,52.2,41
2,0.4,-.289,University of Arizona,.000,19,5,,Miles Simon,.200,-0.1,1,-15.5,0.0,0.4,ORL,2,0,42,3.8,-0.1,42
1944,5.8,.085,Georgetown University,.000,5913,334,.534,Jahidi White,.510,-2.7,7,-3.8,0.2,5.9,WAS,1954,63,43,17.7,10.4,43
501,2.2,.055,University of California,.200,2275,230,.665,Sean Marks,.448,-1.7,11,-4.9,0.2,2.8,NYK,638,50,44,9.9,2.6,44
126,1.7,.072,"University of California, Los Angeles",.200,698,73,.692,Toby Bailey,.407,-0.3,2,-4.0,0.6,3.3,LAL,241,43,45,9.6,1.0,45
67,1.7,.114,Indiana University,.000,304,40,.778,Andrae Patterson,.455,0.1,2,-0.5,0.4,3.0,MIN,120,16,46,7.6,0.7,46
0,0.0,1.367,University of Rhode Island,1.000,3,1,.500,Tyson Wheeler,1.000,0.0,1,19.6,2.0,4.0,TOR,4,2,47,3.0,0.1,47
